cell-image-link href,image,name
https://www.levi.com/US/en_US/clothing/men/jeans/slim/511-slim-fit-selvedge-mens-jeans/p/045115839,"https://lsco.scene7.com/is/image/lsco/045115839-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",511™ SLIM FIT SELVEDGE MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/512-slim-taper-fit-selvedge-mens-jeans/p/288331432,"https://lsco.scene7.com/is/image/lsco/288331432-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",512™ SLIM TAPER FIT SELVEDGE MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/505-regular-fit-linen-denim-mens-jeans/p/005053087,"https://lsco.scene7.com/is/image/lsco/005053087-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",505™ REGULAR FIT LINEN+ DENIM MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/slim/511-slim-fit-mens-jeans/p/045115835,"https://lsco.scene7.com/is/image/lsco/045115835-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",511™ SLIM FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/501-original-fit-mens-jeans/p/005010134,"https://lsco.scene7.com/is/image/lsco/005010134-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® ORIGINAL FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/569-loose-straight-fit-mens-jeans/p/005690242,"https://lsco.scene7.com/is/image/lsco/005690242-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",569™ LOOSE STRAIGHT FIT MEN'S JEANS
https://www.levi.com/US/en_US/jeans-by-fit-number/men/jeans/511/511-slim-fit-mens-jeans/p/045114655,"https://lsco.scene7.com/is/image/lsco/045114655-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",511™ SLIM FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/514-straight-fit-mens-jeans/p/005140730,"https://lsco.scene7.com/is/image/lsco/005140730-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",514™ STRAIGHT FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/bootcut/527-slim-bootcut-mens-jeans/p/055270539,"https://lsco.scene7.com/is/image/lsco/055270539-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",527™ SLIM BOOTCUT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/501-original-fit-lightweight-mens-jeans/p/005013612,"https://lsco.scene7.com/is/image/lsco/005013612-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® ORIGINAL FIT LIGHTWEIGHT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/loose/568-loose-straight-double-knee-mens-pants/p/A73670004,"https://lsco.scene7.com/is/image/lsco/A73670004-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",568™ LOOSE STRAIGHT DOUBLE-KNEE MEN'S PANTS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/501-original-fit-lightweight-mens-jeans/p/005013646,"https://lsco.scene7.com/is/image/lsco/005013646-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® ORIGINAL FIT LIGHTWEIGHT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/505-regular-fit-mens-jeans/p/005050000,"https://lsco.scene7.com/is/image/lsco/005050000-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",505™ REGULAR FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/501-93-straight-fit-mens-jeans/p/798300026,"https://lsco.scene7.com/is/image/lsco/798300026-back-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® '93 STRAIGHT FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/505-regular-fit-authentic-soft-mens-jeans/p/005053036,"https://lsco.scene7.com/is/image/lsco/005053036-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",505™ REGULAR FIT AUTHENTIC SOFT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/japanese-selvedge-512-slim-taper-fit-mens-jeans/p/A58770000,"https://lsco.scene7.com/is/image/lsco/A58770000-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",JAPANESE SELVEDGE 512™ SLIM TAPER FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/made-in-japan-502-taper-fit-mens-jeans/p/A58810003,"https://lsco.scene7.com/is/image/lsco/A58810003-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",MADE IN JAPAN 502™ TAPER FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/relaxed/550-relaxed-fit-mens-jeans-big-tall/p/015504886,"https://lsco.scene7.com/is/image/lsco/015504886-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",550™ RELAXED FIT MEN'S JEANS (BIG & TALL)
https://www.levi.com/US/en_US/clothing/men/pants/514-straight-fit-mens-pants/p/005141779,"https://lsco.scene7.com/is/image/lsco/005141779-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",514™ STRAIGHT FIT MEN'S PANTS
https://www.levi.com/US/en_US/big-tall/jeans/541-athletic-taper-fit-mens-jeans-big-tall/p/187570081,"https://lsco.scene7.com/is/image/lsco/187570081-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",541™ ATHLETIC TAPER FIT MEN'S JEANS (BIG & TALL)
https://www.levi.com/US/en_US/big-tall/505-regular-fit-mens-jeans-big-tall/p/045054886,"https://lsco.scene7.com/is/image/lsco/045054886-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",505™ REGULAR FIT MEN'S JEANS (BIG & TALL)
https://www.levi.com/US/en_US/clothing/men/jeans/1947-501-original-fit-mens-jeans/p/475010225,"https://lsco.scene7.com/is/image/lsco/475010225-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",1947 501® ORIGINAL FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/1890-xx501-original-fit-mens-jeans/p/905010022,"https://lsco.scene7.com/is/image/lsco/905010022-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",1890 XX501® ORIGINAL FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/loose/568-loose-straight-cargo-mens-jeans/p/000LP0002,"https://lsco.scene7.com/is/image/lsco/000LP0002-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",568™ LOOSE STRAIGHT CARGO MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/pants/levis-xx-chino-authentic-straight-fit-lightweight-mens-pants/p/A57530035,"https://lsco.scene7.com/is/image/lsco/A57530035-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",LEVI'S® XX CHINO AUTHENTIC STRAIGHT FIT LIGHTWEIGHT MEN'S PANTS
https://www.levi.com/US/en_US/clothing/men/jeans/loose/skateboarding-cropped-carpenter-mens-jeans/p/A57370006,"https://lsco.scene7.com/is/image/lsco/A57370006-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",SKATEBOARDING CROPPED CARPENTER MEN'S JEANS
https://www.levi.com/US/en_US/big-tall/jeans/501-original-fit-mens-jeans-big-tall/p/115010062,"https://lsco.scene7.com/is/image/lsco/115010062-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® ORIGINAL FIT MEN'S JEANS (BIG & TALL)
https://www.levi.com/US/en_US/clothing/men/jeans/1954-501-original-fit-mens-jeans/p/501540111,"https://lsco.scene7.com/is/image/lsco/501540111-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",1954 501® ORIGINAL FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/1955-501-mens-jeans/p/501550093,"https://lsco.scene7.com/is/image/lsco/501550093-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",1955 501® MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/made-in-japan-1980s-501-original-fit-mens-jeans/p/A44100003,"https://lsco.scene7.com/is/image/lsco/A44100003-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",MADE IN JAPAN 1980'S 501® ORIGINAL FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/501-slim-taper-fit-selvedge-mens-jeans/p/288940254,"https://lsco.scene7.com/is/image/lsco/288940254-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® SLIM TAPER FIT SELVEDGE MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/relaxed/567-relaxed-flare-mens-jeans/p/A86300006,"https://lsco.scene7.com/is/image/lsco/A86300006-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",567™ RELAXED FLARE MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/slim/511-slim-fit-authentic-soft-mens-jeans/p/045115834,"https://lsco.scene7.com/is/image/lsco/045115834-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",511™ SLIM FIT AUTHENTIC SOFT MEN'S JEANS
https://www.levi.com/US/en_US/levis-vintage-clothing/levis-vintage-clothing-for-men/1967-505-regular-fit-mens-jeans/p/675050130,"https://lsco.scene7.com/is/image/lsco/675050130-back-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",1967 505® REGULAR FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/541-athletic-taper-all-seasons-mens-pants/p/181810532,"https://lsco.scene7.com/is/image/lsco/181810532-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",541™ ATHLETIC TAPER ALL SEASONS MEN'S PANTS
https://www.levi.com/US/en_US/big-tall/jeans/501-shrink-to-fit-mens-jeans-big-tall/p/115010000,"https://lsco.scene7.com/is/image/lsco/115010000-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® SHRINK-TO-FIT™ MEN'S JEANS (BIG & TALL)
https://www.levi.com/US/en_US/clothing/men/jeans/taper/502-taper-fit-mens-jeans-big-tall/p/596840121,"https://lsco.scene7.com/is/image/lsco/596840121-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",502™ TAPER FIT MEN'S JEANS (BIG & TALL)
